seed,n_clusters,alpha,theoretical,empirical
255,3,0.01,0.99,0.9912280701754386
255,3,0.05,0.95,0.956140350877193
255,3,0.1,0.9,0.9210526315789473
255,3,0.2,0.8,0.8070175438596491
256,3,0.01,0.99,1.0
256,3,0.05,0.95,0.956140350877193
256,3,0.1,0.9,0.868421052631579
256,3,0.2,0.8,0.7982456140350878
257,3,0.01,0.99,1.0
257,3,0.05,0.95,0.9385964912280702
257,3,0.1,0.9,0.868421052631579
257,3,0.2,0.8,0.7368421052631579
258,3,0.01,0.99,0.9736842105263158
258,3,0.05,0.95,0.9473684210526315
258,3,0.1,0.9,0.8771929824561403
258,3,0.2,0.8,0.8070175438596491
259,3,0.01,0.99,0.9912280701754386
259,3,0.05,0.95,0.9649122807017544
259,3,0.1,0.9,0.9122807017543859
259,3,0.2,0.8,0.7894736842105263
260,3,0.01,0.99,0.9912280701754386
260,3,0.05,0.95,0.956140350877193
260,3,0.1,0.9,0.9210526315789473
260,3,0.2,0.8,0.8245614035087719
261,3,0.01,0.99,0.9824561403508771
261,3,0.05,0.95,0.8508771929824561
261,3,0.1,0.9,0.8333333333333334
261,3,0.2,0.8,0.7280701754385965
262,3,0.01,0.99,1.0
262,3,0.05,0.95,0.9912280701754386
262,3,0.1,0.9,0.9210526315789473
262,3,0.2,0.8,0.8596491228070176
263,3,0.01,0.99,1.0
263,3,0.05,0.95,0.9385964912280702
263,3,0.1,0.9,0.868421052631579
263,3,0.2,0.8,0.8070175438596491
264,3,0.01,0.99,0.9736842105263158
264,3,0.05,0.95,0.8947368421052632
264,3,0.1,0.9,0.8596491228070176
264,3,0.2,0.8,0.7017543859649122
265,3,0.01,0.99,0.9736842105263158
265,3,0.05,0.95,0.9298245614035088
265,3,0.1,0.9,0.8947368421052632
265,3,0.2,0.8,0.7807017543859649
266,3,0.01,0.99,0.9912280701754386
266,3,0.05,0.95,0.9035087719298246
266,3,0.1,0.9,0.8508771929824561
266,3,0.2,0.8,0.7543859649122807
267,3,0.01,0.99,1.0
267,3,0.05,0.95,0.9649122807017544
267,3,0.1,0.9,0.8947368421052632
267,3,0.2,0.8,0.7368421052631579
268,3,0.01,0.99,0.9912280701754386
268,3,0.05,0.95,0.9385964912280702
268,3,0.1,0.9,0.9122807017543859
268,3,0.2,0.8,0.7719298245614035
269,3,0.01,0.99,0.9912280701754386
269,3,0.05,0.95,0.9736842105263158
269,3,0.1,0.9,0.9210526315789473
269,3,0.2,0.8,0.8421052631578947
270,3,0.01,0.99,0.9912280701754386
270,3,0.05,0.95,0.9736842105263158
